iter	Passed	Remaining
0	129	19291
1	248	18366
2	365	17916
3	481	17580
4	598	17350
5	718	17237
6	830	16971
7	944	16772
8	1054	16519
9	1163	16288
10	1276	16127
11	1391	15999
12	1500	15808
13	1615	15690
14	1724	15519
15	1833	15352
16	1953	15280
17	2055	15070
18	2166	14934
19	2279	14817
20	2393	14700
21	2509	14601
22	2611	14418
23	2726	14314
24	2836	14181
25	2931	13981
26	3032	13814
27	3142	13690
28	3242	13527
29	3345	13381
30	3443	13217
31	3547	13081
32	3643	12919
33	3751	12797
34	3860	12682
35	3968	12566
36	4068	12425
37	4171	12294
38	4276	12170
39	4386	12061
40	4496	11953
41	4591	11807
42	4694	11681
43	4784	11526
44	4893	11419
45	4986	11274
46	5091	11157
47	5195	11041
48	5302	10930
49	5403	10806
50	5491	10659
51	5588	10531
52	5695	10423
53	5784	10284
54	5881	10159
55	5985	10047
56	6081	9922
57	6173	9792
58	6271	9673
59	6363	9544
60	6456	9419
61	6544	9289
62	6656	9192
63	6761	9086
64	6851	8959
65	6952	8849
66	7056	8741
67	7143	8613
68	7218	8473
69	7329	8376
70	7437	8275
71	7535	8162
72	7632	8050
73	7725	7934
74	7816	7816
75	7919	7711
76	8026	7609
77	8113	7489
78	8217	7385
79	8316	7276
80	8410	7164
81	8503	7051
82	8603	6945
83	8706	6841
84	8814	6740
85	8906	6628
86	8993	6512
87	9095	6408
88	9188	6297
89	9291	6194
90	9391	6089
91	9500	5989
92	9595	5881
93	9709	5784
94	9797	5671
95	9901	5569
96	9984	5455
97	10070	5343
98	10174	5241
99	10273	5136
100	10361	5026
101	10455	4920
102	10565	4821
103	10665	4717
104	10759	4611
105	10851	4504
106	10948	4399
107	11046	4295
108	11131	4187
109	11232	4084
110	11316	3975
111	11405	3869
112	11478	3758
113	11590	3660
114	11684	3556
115	11788	3455
116	11889	3353
117	11982	3249
118	12082	3147
119	12167	3041
120	12264	2939
121	12372	2839
122	12471	2737
123	12579	2637
124	12686	2537
125	12769	2432
126	12864	2329
127	12959	2227
128	13054	2125
129	13153	2023
130	13252	1922
131	13345	1819
132	13430	1716
133	13527	1615
134	13637	1515
135	13723	1412
136	13822	1311
137	13928	1211
138	14025	1109
139	14120	1008
140	14212	907
141	14315	806
142	14395	704
143	14490	603
144	14580	502
145	14679	402
146	14762	301
147	14868	200
148	14968	100
149	15052	0
